,Content ID,Reaction Type,Datetime,Content type,Category,Sentiment,Score,,,,Category,Sum,Count,Datetime,Month,Count post,,Month,Count post
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,11/7/2020 0:00,photo,Studying,negative,0,,,,Animals,74965,1897,11/7/2020,11,2034,,11,2034
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,6/17/2021 0:00,photo,Studying,negative,10,,,,cooking,64756,1664,6/17/2021,6,2021,,6,2021
3,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,4/18/2021 0:00,photo,Studying,negative,15,,,,culture,66579,1676,4/18/2021,4,1974,,4,1974
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,1/6/2021 0:00,photo,Studying,negative,0,,,,dogs,52511,1338,1/6/2021,1,2126,,1,2126
5,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,8/23/2020 0:00,photo,Studying,positive,30,,,,education,57436,1433,8/23/2020,8,2114,,8,2114
6,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,12/7/2020 0:00,photo,Studying,neutral,35,,,,fitness,55323,1395,12/7/2020,12,2092,,12,2092
7,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,4/11/2021 0:00,photo,Studying,positive,70,,,,food,66676,1699,4/11/2021,4,1974,,10,2056
8,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,1/27/2021 0:00,photo,Studying,negative,5,,,,healthy eating,69339,1717,1/27/2021,1,2126,,9,2022
9,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,4/1/2021 0:00,photo,Studying,neutral,35,,,,public speaking,49264,1217,4/1/2021,4,1974,,2,1914
10,97522e57-d9ab-4bd6-97bf-c24d952602d2,love,8/4/2020 0:00,photo,Studying,positive,65,,,,science,71168,1796,8/4/2020,8,2114,,5,2138
11,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,11/7/2020 0:00,photo,Studying,neutral,20,,,,soccer,57783,1457,11/7/2020,11,2034,,3,2012
12,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,11/2/2020 0:00,photo,Studying,negative,15,,,,Studying,54269,1363,11/2/2020,11,2034,,7,2070
13,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,11/1/2020 0:00,photo,Studying,positive,30,,,,technology,68738,1698,11/1/2020,11,2034,,,
14,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,10/7/2020 0:00,photo,Studying,negative,5,,,,tennis,50339,1328,10/7/2020,10,2056,,,
15,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,9/3/2020 0:00,photo,Studying,negative,15,,,,travel,64880,1647,9/3/2020,9,2022,,,
16,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2/24/2021 0:00,photo,Studying,positive,75,,,,veganism,49619,1248,2/24/2021,2,1914,,,
17,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,9/23/2020 0:00,photo,Studying,neutral,35,,,,,,,9/23/2020,9,2022,,,
18,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2/24/2021 0:00,photo,Studying,neutral,20,,,,,,,2/24/2021,2,1914,,,
19,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,5/22/2021 0:00,photo,Studying,positive,30,,,,,,,5/22/2021,5,2138,,,
20,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,1/31/2021 0:00,photo,Studying,positive,45,,,,,,,1/31/2021,1,2126,,,
21,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,11/20/2020 0:00,photo,Studying,neutral,35,,,,,,,11/20/2020,11,2034,,,
22,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,4/11/2021 0:00,photo,Studying,negative,12,,,,,,,4/11/2021,4,1974,,,
23,97522e57-d9ab-4bd6-97bf-c24d952602d2,like,6/13/2021 0:00,photo,Studying,positive,50,,,,,,,6/13/2021,6,2021,,,
24,97522e57-d9ab-4bd6-97bf-c24d952602d2,heart,4/11/2021 0:00,photo,Studying,positive,60,,,,,,,4/11/2021,4,1974,,,
25,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,3/2/2021 0:00,photo,Studying,negative,12,,,,,,,3/2/2021,3,2012,,,
26,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,6/27/2020 0:00,photo,Studying,negative,5,,,,,,,6/27/2020,6,2021,,,
27,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,5/9/2021 0:00,photo,Studying,negative,5,,,,,,,5/9/2021,5,2138,,,
28,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,8/4/2020 0:00,photo,Studying,positive,70,,,,,,,8/4/2020,8,2114,,,
29,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,8/28/2020 0:00,photo,Studying,positive,75,,,,,,,8/28/2020,8,2114,,,
30,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,8/25/2020 0:00,photo,Studying,positive,45,,,,,,,8/25/2020,8,2114,,,
31,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,4/20/2021 0:00,photo,Studying,negative,15,,,,,,,4/20/2021,4,1974,,,
32,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,3/7/2021 0:00,photo,Studying,positive,30,,,,,,,3/7/2021,3,2012,,,
33,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,5/24/2021 0:00,photo,Studying,neutral,20,,,,,,,5/24/2021,5,2138,,,
34,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,1/24/2021 0:00,photo,Studying,positive,75,,,,,,,1/24/2021,1,2126,,,
35,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,4/9/2021 0:00,photo,Studying,negative,0,,,,,,,4/9/2021,4,1974,,,
36,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2/2/2021 0:00,photo,Studying,positive,75,,,,,,,2/2/2021,2,1914,,,
37,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2/4/2021 0:00,photo,Studying,positive,30,,,,,,,2/4/2021,2,1914,,,
38,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,11/9/2020 0:00,photo,Studying,negative,10,,,,,,,11/9/2020,11,2034,,,
39,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,9/29/2020 0:00,photo,Studying,negative,15,,,,,,,9/29/2020,9,2022,,,
40,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,11/29/2020 0:00,photo,Studying,negative,10,,,,,,,11/29/2020,11,2034,,,
41,97522e57-d9ab-4bd6-97bf-c24d952602d2,want,2/13/2021 0:00,photo,Studying,positive,70,,,,,,,2/13/2021,2,1914,,,
42,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,7/14/2020 0:00,photo,Studying,positive,30,,,,,,,7/14/2020,7,2070,,,
43,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,8/23/2020 0:00,photo,Studying,neutral,20,,,,,,,8/23/2020,8,2114,,,
44,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,5/10/2021 0:00,photo,Studying,negative,12,,,,,,,5/10/2021,5,2138,,,
45,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,3/15/2021 0:00,photo,Studying,negative,5,,,,,,,3/15/2021,3,2012,,,
47,9f737e0a-3cdd-4d29-9d24-753f4e3be810,dislike,6/25/2020 0:00,photo,healthy eating,negative,10,,,,,,,6/25/2020,6,2021,,,
48,9f737e0a-3cdd-4d29-9d24-753f4e3be810,intrigued,9/13/2020 0:00,photo,healthy eating,positive,45,,,,,,,9/13/2020,9,2022,,,
49,9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,8/20/2020 0:00,photo,healthy eating,neutral,35,,,,,,,8/20/2020,8,2114,,,
50,9f737e0a-3cdd-4d29-9d24-753f4e3be810,scared,2/11/2021 0:00,photo,healthy eating,negative,15,,,,,,,2/11/2021,2,1914,,,
51,9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,3/8/2021 0:00,photo,healthy eating,negative,5,,,,,,,3/8/2021,3,2012,,,
52,9f737e0a-3cdd-4d29-9d24-753f4e3be810,disgust,3/28/2021 0:00,photo,healthy eating,negative,0,,,,,,,3/28/2021,3,2012,,,
53,9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,5/25/2021 0:00,photo,healthy eating,negative,5,,,,,,,5/25/2021,5,2138,,,
54,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,3/15/2021 0:00,photo,healthy eating,positive,50,,,,,,,3/15/2021,3,2012,,,
55,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,5/5/2021 0:00,photo,healthy eating,positive,65,,,,,,,5/5/2021,5,2138,,,
56,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,8/31/2020 0:00,photo,healthy eating,positive,65,,,,,,,8/31/2020,8,2114,,,
57,9f737e0a-3cdd-4d29-9d24-753f4e3be810,heart,6/16/2021 0:00,photo,healthy eating,positive,60,,,,,,,6/16/2021,6,2021,,,
58,9f737e0a-3cdd-4d29-9d24-753f4e3be810,indifferent,7/7/2020 0:00,photo,healthy eating,neutral,20,,,,,,,7/7/2020,7,2070,,,
59,9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,8/20/2020 0:00,photo,healthy eating,neutral,35,,,,,,,8/20/2020,8,2114,,,
60,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,9/23/2020 0:00,photo,healthy eating,positive,65,,,,,,,9/23/2020,9,2022,,,
61,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,3/24/2021 0:00,photo,healthy eating,positive,50,,,,,,,3/24/2021,3,2012,,,
63,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,12/7/2020 0:00,photo,healthy eating,negative,5,,,,,,,12/7/2020,12,2092,,,
64,230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,8/3/2020 0:00,photo,healthy eating,positive,75,,,,,,,8/3/2020,8,2114,,,
